Docket Number,Country,Sub Case,Status,Other Reference No.,Application No,Filing Date,No,Due Date,Amount,CPI Payment Date
07DOF0003,CN,,Transferred,07DOF0003-CN-PCT,200980114865.8,10/26/2010,17,2/25/2025,1132,
07DOF0003,CN,,Transferred,07DOF0003-CN-PCT,200980114865.8,10/26/2010,18,2/25/2026,1132,
07DOF0003,TW,,Transferred,07DOF0003-TW-NP,98104838,2/16/2009,11,11/21/2024,548,
07DOF0003,TW,,Transferred,07DOF0003-TW-NP,98104838,2/16/2009,12,11/21/2025,564,
07SFS0001,CN,,Granted,07SFS0001-CN-PCT,200880114221.4,4/30/2010,17,11/11/2024,1132,10/16/2024
07SFS0001,CN,,Granted,07SFS0001-CN-PCT,200880114221.4,4/30/2010,18,11/11/2025,1134,
07SFS0001,DE,,Granted,07SFS0001-DE-EPT,08850372.7,11/11/2008,17,11/11/2024,1745,11/24/2024
07SFS0001,DE,,Granted,07SFS0001-DE-EPT,08850372.7,11/11/2008,18,11/11/2025,2091,
07SFS0001,FR,,Granted,07SFS0001-FR-EPT,08850372.7,11/11/2008,17,11/11/2024,684,11/24/2024
07SFS0001,FR,,Granted,07SFS0001-FR-EPT,08850372.7,11/11/2008,18,11/11/2025,819,
07SFS0001,US,,Abandoned,07SFS0001-US-NP,11/938504,11/12/2007,12,4/29/2025,8287,
07SFS0002,CN,,Abandoned,07SFS0002-CN-PCT,200980103217.2,7/27/2010,17,1/21/2025,1161,12/29/2024
07SFS0002,CN,,Abandoned,07SFS0002-CN-PCT,200980103217.2,7/27/2010,18,1/21/2026,1161,
07SFS0002,DE,,Abandoned,07SFS0002-DE-EPT,09706818.3,7/20/2010,17,1/21/2025,1746,
07SFS0002,DE,,Abandoned,07SFS0002-DE-EPT,09706818.3,7/20/2010,18,1/21/2026,1903,
07SFS0002,FR,,Abandoned,07SFS0002-FR-EPT,09706818.3,7/20/2010,17,1/21/2025,684,
07SFS0002,FR,,Abandoned,07SFS0002-FR-EPT,09706818.3,7/20/2010,18,1/21/2026,745,
07SFS0002,TW,,Abandoned,07SFS0002-TW-NP,98101780,1/17/2009,13,5/21/2025,553,
07SFS0002,TW,,Abandoned,07SFS0002-TW-NP,98101780,1/17/2009,14,5/21/2026,553,
07SFS0003,CN,,Abandoned,07SFS0003-CN-PCT,200980103359.9,1/21/2009,17,1/21/2025,1161,12/29/2024
07SFS0003,CN,,Abandoned,07SFS0003-CN-PCT,200980103359.9,1/21/2009,18,1/21/2026,1161,
07SFS0003,DE,,Abandoned,07SFS0003-DE-EPT,09705086.8,8/20/2010,17,1/21/2025,1746,
07SFS0003,DE,,Abandoned,07SFS0003-DE-EPT,09705086.8,8/20/2010,18,1/21/2026,1903,
07SFS0003,FR,,Abandoned,07SFS0003-FR-EPT,09705086.8,8/20/2010,17,1/21/2025,684,
07SFS0003,FR,,Abandoned,07SFS0003-FR-EPT,09705086.8,8/20/2010,18,1/21/2026,745,
07SFS0003,TW,,Abandoned,07SFS0003-TW-NP,98101782,1/17/2009,13,6/21/2025,553,
